"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
709,643338,"Green, Chad",718,98.7,0.291,0.274,0.294,0.566,0.385,0.372,0.274,51,175,91.9,18.6,2363,91.8,91.68,82,362,347,-0.09999999999999432,6.38,111,150,119,149,296,325,296,"-13.257","13.257","70.1","7.2",188,140,31,6,0,14,35,18.6,11,5.9,1.80487,0.93215,0.17862,-0.04,"92.8",179,52.85714285714286,16.428571428571427,12.23404255319149,6.14,-1.86,0.33,2.44,0.34,23,"1.869816643",0.325,0.553,"-1.869816643",0.017,0.015000000000000013,0.013,0.013,22.7,"46.1",9.288697773553512,0.35929503477580405,30.186388257613768,0.5238095238095238,37.76277556263813,29.259117800357963
670,663893,"Little, Brendon",1252,53.5,0.248,0.116,0.279,0.364,0.345,0.359,0.268,30,121,89.9,-1.2,2053,93.4,91.87,79,251,419,-1.5,5.57,107,147,112,147,291,322,295,"-0.455","0.455","71.3","7.2",150,105,19,9,1,1,16,10.7,28,18.7,2.69034,-0.05815,1.06249,0.08207,"93.5",112,46.666666666666664,4.761904761904762,3.3333333333333335,5.9,2.03,-0.01,1.99,0.393,5,"0.067910448",0.41,0.381,"-0.067910448",-0.02,-0.01699999999999996,-0.017,-0.014,31.5,"27.4",8.50211744351345,1.9255605851301478,34.3561179965043,0.5518672199170125,35.71233435442235,28.657133146114738
525,669456,"Bieber, Shane",645,81.4,0.248,0.239,0.266,0.487,0.329,0.325,0.259,29,117,92.4,13,2323,89.5,90.04,70,241,284,0.5,6.69,113,150,114,149,293,323,293,"0.566","-0.566","70.3","7.2",123,87,17,4,0,8,30,24.4,5,4.1,2.14682,0.72179,0.48296,-0.11757,"92.4",168,43.67816091954023,12.643678160919542,8.94308943089431,5.63,-1.7,0.01,2.4,0.285,11,"-0.107809524",0.295,0.463,"0.107809524",-0.011,-0.010000000000000009,0.024,0.004,29,"38.9",9.821811368977343,-0.3731555925376693,29.742323804875944,0.5384615384615384,38.41676060141966,30.485039284943756
461,667297,"Nance, Tommy",461,100,0.214,0.017,0.291,0.231,0.225,0.307,0.271,25,117,88.4,4.3,2705,89.2,88.8,53,215,246,-0.4000000000000057,6.1,111,147,118,147,293,321,291,"6.543","-6.543","67.9","7.3",126,86,23,2,0,0,32,25.4,7,5.6,3.06575,-0.17963,0.04695,0.13146,"92.5",118,45.88235294117647,8.235294117647058,5.555555555555555,6.13,-1.13,0.23,2.3,0.262,7,"-1.419305857",0.316,0.383,"1.419305857",-0.057,-0.05399999999999999,-0.152,-0.082,24.7,"42.2",8.95024181625811,-0.6974725868701223,31.004479926974355,0.5550239234449761,38.50645842906612,29.192074317059387
448,687606,"Schultz, Paxton",448,100,0.276,0.214,0.333,0.49,0.346,0.304,0.223,27,98,91.1,18.5,2153,89.7,89.27,55,201,247,-0.4000000000000057,6.08,109,147,119,147,294,323,296,"-4.258","4.258","69.1","7.0",110,73,14,9,0,4,28,25.5,8,7.3,1.94857,0.90272,0.19381,-0.11103,"91.9",173,35.61643835616438,10.95890410958904,7.2727272727272725,5.81,-2.4,-0.13,2.55,0.327,8,"0.950446429",0.296,0.382,"-0.950446429",0.053,0.031000000000000028,0.108,0.042,27.4,"35.6",5.919438948574783,6.682896646620796,30.854609744781417,0.4898989898989899,37.38632525915886,25.334112471337136
438,687922,"Lucas, Easton",438,100,0.272,0.207,0.294,0.478,0.348,0.37,0.279,25,92,91.2,17.4,2053,90.1,89.9,54,226,212,-0.19999999999998863,6.32,107,150,115,147,291,322,296,"-2.836","2.836","69.5","7.0",108,73,16,4,0,5,23,21.3,12,11.1,1.90806,0.94448,0.31259,-0.33597,"92.0",173,43.83561643835616,10.95890410958904,7.4074074074074066,6.18,2.29,-0.02,2.43,0.343,8,"0.647488584",0.351,0.529,"-0.647488584",-0.007,-0.007999999999999952,-0.051,-0.022,23.9,"48.2",7.84322359224195,3.736495569558131,31.296064751501454,0.5315315315315315,36.14213943406025,27.206782315930816
366,622554,"Domínguez, Seranthony",1109,33,0.169,0.099,0.239,0.268,0.262,0.274,0.186,12,71,88.1,8.8,2179,92.6,92.7,49,157,209,0.10000000000000853,6.38,111,148,115,147,291,319,288,"3.115","-3.115","69.0","7.2",85,47,7,4,0,1,25,29.4,11,12.9,1.92107,0.7723,0.23902,-0.14186,"91.6",150,40.42553191489361,6.382978723404255,3.5294117647058822,5.56,-1.96,0.12,2.26,0.294,3,"-0.851092896",0.314,0.25,"0.851092896",-0.017,-0.020000000000000018,0.018,-0.012,31.2,"31.3",8.333032711138705,0.4764263730938113,30.851263557910787,0.445859872611465,39.12127069881355,28.939902159214185
359,554340,"García, Yimi",364,98.6,0.171,0.092,0.224,0.263,0.255,0.341,0.246,13,76,90.6,11.9,2604,91.8,90.76,50,163,196,-1,5.89,111,149,116,149,292,323,301,"4.489","-4.489","70.6","7.2",89,52,10,1,0,2,25,28.1,11,12.4,1.98688,0.76786,0.30496,-0.11827,"92.0",168,40.38461538461539,9.615384615384617,5.617977528089887,5.21,-2.59,-0.14,2.38,0.284,5,"-1.250417827",0.349,0.423,"1.250417827",-0.075,-0.065,-0.16,-0.086,30.7,"27.1",8.37988269008316,1.078211078104764,31.390714355352813,0.5448717948717948,38.515099272970474,27.57424137187876
289,680704,"Sandlin, Nick",290,99.7,0.186,0.136,0.22,0.322,0.286,0.323,0.229,11,59,88.2,22.4,2341,83.7,83.98,46,129,160,0.29999999999999716,6.71,112,149,117,148,288,320,296,"1.831","-1.831","68.2","7.6",69,43,7,2,0,2,16,23.2,8,11.6,2.78958,0.54156,-0.00471,-0.2701,"92.7",151,41.86046511627907,4.651162790697675,2.898550724637681,4.28,-2.59,0.15,2.34,0.304,2,"-0.633564014",0.34,0.378,"0.633564014",-0.043,-0.03600000000000003,-0.056,-0.037,35.7,"11.8",16.602167269048778,-13.343432378092317,32.23975131843933,0.4634146341463415,37.77555951338161,37.86760102609638
239,702056,"Yesavage, Trey",239,100,0.236,0.036,0.333,0.273,0.275,0.311,0.251,13,55,94,5.5,2070,90.2,90.1,40,113,126,-0.10000000000000853,6.16,110,148,115,150,291,323,296,"1.912","-1.912","70.4","7.4",62,39,11,2,0,0,16,25.8,7,11.3,1.80017,1.01531,0.49757,-0.15146,"93.6",145,61.53846153846154,7.6923076923076925,4.838709677419355,7.09,-0.51,-0.21,2.26,0.323,3,"-0.8",0.336,0.36,"0.8",-0.015,-0.013000000000000012,-0.087,-0.036,35.4,"63.2",10.427330501749875,-3.8065560827353018,29.592184458737474,0.4864864864864865,38.58668666971519,30.844284748485023
