"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
23,621366,"Borucki, Ryan",598,3.8,0.5,0,0.5,0.5,0.525,0.662,0.686,2,4,98.9,7.5,2249,94.3,94.57,1,8,15,0.29999999999999716,6.6,122,149,115,149,290,324,288,"-0.45","0.45","71.9","7.4",6,4,2,0,0,0,0,0,2,33.3,1.84087,0.73652,1.48043,0.11696,"94.2",125,75,0,0,5.69,1.21,-0.01,1.92,0.667,0,"1.956521739",0.791,0.797,"-1.956521739",-0.186,-0.124,-0.297,-0.137,12.5,"29.2",6.0852949860097185,3.1595479027815276,36.758631366900985,0.5,36.750912723993665,25.016548472634955
22,596271,"Lawrence, Casey",276,8,0.667,0.167,0.667,0.833,0.65,0.518,0.528,4,6,100.4,6.3,2085,88,87.2,0,11,11,-0.7999999999999972,5.98,106,150,117,146,292,324,296,"-1.124","1.124","72.6","7.1",6,6,3,1,0,0,0,0,0,0,2.68455,0.28136,1.28136,0.82318,"95.1",106,66.66666666666666,0,0,5.2,-2.63,0.12,2.49,0.667,0,"5.109090909",0.528,0.66,"-5.109090909",0.139,0.139,0.173,0.132,0,"21.0",13.662561434410991,2.327444446995513,31.47346235258353,0.2727272727272727,33.22251545354316,29.45076653311503
20,663992,"Lovelady, Richard",222,9,1,1,0.5,2,0.686,0.55,0.301,1,1,76,28,2213,91.5,92.48,1,7,13,1.0999999999999943,7.24,109,150,110,148,294,329,300,"-1.6","1.6","72.0","7.0",7,2,0,1,0,0,0,0,2,28.6,2.3375,0.4235,1.2895,-0.0285,"88.5",217,0,0,0,5.27,2.39,0.64,2.73,0.857,0,"8",0.76,0.301,"-8",0.699,0.09699999999999998,1.699,0.136,14.3,"21.3",6.984809628633058,10.73878929346782,30.57108391718692,0.5714285714285714,39.035063038531185,22.87660922932943
20,670102,"Francis, Bowden",1143,1.7,0,0,,0,0.482,0.482,,0,1,,,2132,91.5,92.25,1,7,13,0.7000000000000028,6.97,108,151,120,148,295,321,288,"-0.099","0.099","75.9","7.9",3,0,0,0,0,0,1,33.3,0,0,1.6465,1.1015,1.0985,0.6655,"91.8",66,,,,6.01,-2.05,-0.6,2.2,0.667,,"0.495",0.667,,"-0.495",,0,,0,14.3,"39.2",16.572357289304982,-11.046466472209511,34.9490122729269,0.5,29.46976558467197,34.83907492677298
16,686973,"Varland, Louis",1070,1.5,0.5,0.25,0.5,0.75,0.565,0.412,0.293,2,4,94.4,9.3,2133,97.3,97.88,0,5,11,0.6000000000000085,6.92,110,151,119,149,299,324,288,"-0.973","0.973","67.0","6.7",5,4,1,1,0,0,0,0,1,20,1.35875,1.07688,1.24375,0.85,"94.7",159,50,0,0,5.41,-3.02,-0.31,2,0.6,0,"6.08125",0.434,0.515,"-6.08125",0.207,0.16599999999999998,0.235,0.153,0,"38.4",9.424344465741806,17.132637290308335,30.43763315561019,0.6,35.69706044654995,20.920805782888472
16,570632,"Ureña, José",938,1.7,0.25,0,0.25,0.25,0.315,0.562,0.473,1,4,90.9,5.8,2037,96.2,95.5,1,10,6,-0.7000000000000028,6.12,109,150,125,150,294,323,299,"-0.365","0.365","71.8","7.0",5,4,1,0,0,0,0,0,1,20,1.92625,0.55688,1.39,-0.1825,"93.3",89,75,25,20,5.68,-3.05,-0.54,2.83,0.4,1,"2.28125",0.578,0.766,"-2.28125",-0.223,-0.17799999999999994,-0.516,-0.247,10,"29.0",9.73796695628388,-2.7397712932702545,31.58694821268529,0.4444444444444444,29.33497827961193,29.20689451421608
16,643338,"Green, Chad",718,2.2,0.8,0,0.8,0.8,0.706,0.559,0.578,4,5,83.3,-4.6,2258,94.4,94.4,0,6,10,0,6.51,109,150,116,146,304,323,288,"-1.681","1.681","69.5","6.8",5,5,4,0,0,0,0,0,0,0,1.60688,0.97125,1.08813,1.08813,"93.6",178,40,0,0,6.12,-1.98,0.12,2.46,0.8,0,"10.50625",0.578,0.694,"-10.50625",0.222,0.2220000000000001,0.106,0.147,0,"45.9",2.4764756802031336,21.76552270898849,30.059327786317983,0.3333333333333333,38.434661170408916,16.852266192705322
8,605513,"Turnbull, Spencer",125,6.4,0.5,0.25,0.5,0.75,0.534,0.2,0.168,2,4,89.6,-2.3,2200,92.4,91.91,0,6,2,-0.5,6.28,105,152,121,147,294,320,287,"-0.602","0.602","70.1","7.2",4,4,1,1,0,0,0,0,0,0,2.28875,0.41125,1.3025,1.3025,"91.3",143,50,0,0,5.52,-1.71,-0.66,1.91,0.5,0,"7.525",0.168,0.309,"-7.525",0.332,0.33199999999999996,0.441,0.334,0,"22.6",3.6020573082370078,3.0868752354568647,39.64254534701431,0.6,28.847379333221777,24.456367105607644
6,677020,"Walker, Josh",92,6.5,1,0,1,1,0.787,0.372,0.052,1,1,69.7,-14,2116,91.9,93.58,0,2,4,1.6999999999999886,7.28,112,148,125,142,295,317,295,"-0.551","0.551","72.7","8.1",2,1,1,0,0,0,0,0,1,50,2.12667,0.57833,0.945,0.17833,"88.0",6,0,0,0,6.01,2.82,0.32,2.64,1,0,"9.183333333",0.526,0.074,"-9.183333333",0.948,0.474,0.926,0.415,0,"35.9",9.815118096660457,-2.156294519565545,40.140049563983865,1,31.985385678418016,31.588174821495414
2,687606,"Schultz, Paxton",448,0.4,,,,,,,,,,,,2250,94.3,93.5,0,1,1,-0.7999999999999972,6.05,123,148,118,153,273,317,304,"0.09","-0.09","53.8","5.7",,,,,,,,,,,1.52,1.065,0.96,-0.96,"88.0",241,,,,5.82,-2.46,-0.33,3.01,,,"-4.5",,,"4.5",,,,,0,"32.6",-3.2767047128415228,32.26392079718192,25.07712593350797,0,38.44795765368827,15.93870703930476
2,592332,"Gausman, Kevin",3038,0.1,0,0,0,0,0,0.009,0.008,0,1,85.9,70,2281,93.7,92.8,0,1,1,-0.9000000000000057,6.55,117,147,116,145,295,318,288,"0.205","-0.205","76.7","7.4",1,1,0,0,0,0,0,0,0,0,1.165,1.51,1.545,-0.015,"88.0",134,0,0,0,5.83,-2.49,0.18,1.91,0,0,"-10.25",0.008,0.01,"10.25",-0.008,-0.008,-0.01,-0.009,0,"37.2",9.29924738807256,-14.393815654412824,28.59047112679814,1,34.329993223973865,27.971864978697056
1,641778,"Lauer, Eric",1690,0.1,,,,,,,,,,,,2205,91.9,91.4,0,0,1,-0.5,6.4,86,148,114,141,306,322,288,"-0.035","0.035",,,,,,,,,,,,,1.55,1.19,1.31,-1.31,,,,,,5.89,1.79,-0.42,1.3,,,"3.5",,,"-3.5",,,,,,"34.9",,,,,,
1,689254,"Fluharty, Mason",875,0.1,,,,,,,,,,,,1949,91.6,91.7,0,0,1,0.10000000000000853,6.8,117,154,124,150,289,320,280,"-0.024","0.024",,,,,,,,,,,,,1.78,0.98,1.01,-1.01,,,,,,5.54,3.76,0.57,0.72,,,"2.4",,,"-2.4",,,,,,"27.6",,,,,,
